"Sujetos","Repeticiones","Column 2"
"#VivaElReyFelipeVI","2","2020-03-19"
"#FelipeVIFarsante","4","2020-04-01"
"#PírateYaFelipeVI","22","2020-07-08"
"#FelipeVIesCómplice","10","2020-07-15"
"#YaSobrasFelipeVI","26","2020-07-22"
